
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
58:1D:D8:8E:04:E8, 2025-12-20 19:10:47, 2025-12-20 19:10:48, 11, 195, WPA2, CCMP, PSK, -58,        5,        0,   0.  0.  0.  0,  17, Livebox-5318_6GHz, 
3A:07:16:6C:87:64, 2025-12-20 19:10:47, 2025-12-20 19:10:49, 11, 130, WPA2, CCMP, PSK, -91,        3,        2,   0.  0.  0.  0,  14, Freebox-26E136, 
E4:9E:12:A7:52:AC, 2025-12-20 19:10:47, 2025-12-20 19:10:48, 11, 195, WPA2, CCMP, PSK, -75,        4,        4,   0.  0.  0.  0,  14, Freebox-41B0F6, 
C4:34:6B:0A:E4:0F, 2025-12-20 19:10:48, 2025-12-20 19:10:49,  6,  58, OPN, ,   , -83,        4,        0,   0.  0.  0.  0,  27, HP-Print-0F-Photosmart 5520, 
3A:07:16:6C:87:66, 2025-12-20 19:10:48, 2025-12-20 19:10:48, 11, 130, WPA3 WPA2, CCMP, SAE, -86,        3,        1,   0.  0.  0.  0,   0, , 
12:5B:AD:9D:2D:5B, 2025-12-20 19:10:49, 2025-12-20 19:10:49,  6, 130, WPA2, CCMP, PSK, -87,        2,        0,   0.  0.  0.  0,  26, DIRECT-5b-HP M181 LaserJet, 
BA:5A:00:F7:FA:B5, 2025-12-20 19:10:49, 2025-12-20 19:10:49,  6, 195, WPA2, CCMP, PSK, -92,        1,        0,   0.  0.  0.  0,  13, Bbox-872B4386, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
70:EE:50:74:EB:62, 2025-12-20 19:10:47, 2025-12-20 19:10:47, -77,        2, 3A:07:16:6C:87:64,

