
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C4:34:6B:0A:E4:0F, 2025-12-20 18:33:58, 2025-12-20 18:34:04,  6,  58, OPN, ,   , -82,        5,        0,   0.  0.  0.  0,  27, HP-Print-0F-Photosmart 5520, 
58:1D:D8:8E:04:E8, 2025-12-20 18:34:01, 2025-12-20 18:34:03, 11, 195, WPA2, CCMP, PSK, -61,        6,        5,   0.  0.  0.  0,  17, Livebox-5318_6GHz, 
E4:9E:12:A7:52:AC, 2025-12-20 18:34:01, 2025-12-20 18:34:03, 11, 195, WPA2, CCMP, PSK, -77,        5,        0,   0.  0.  0.  0,  14, Freebox-41B0F6, 
3A:07:16:6C:87:64, 2025-12-20 18:34:02, 2025-12-20 18:34:02, 11,  -1, WPA, ,   , -86,        0,        3,   0.  0.  0.  0,   0, , 
3A:07:16:6C:87:66, 2025-12-20 18:34:02, 2025-12-20 18:34:02, 11, 130, WPA3 WPA2, CCMP, SAE, -87,        1,        6,   0.  0.  0.  0,   0, , 
3A:07:16:C0:53:00, 2025-12-20 18:34:03, 2025-12-20 18:34:03,  6,  -1, WPA, ,   ,  -1,        0,        5,   0.  0.  0.  0,   0, , 
4A:E7:29:66:E6:B2, 2025-12-20 18:34:03, 2025-12-20 18:34:03,  6,  48, OPN, ,   , -90,        1,        0,   0.  0.  0.  0,  13, DTUP-A00E4F6F, 
F4:30:B9:7B:03:E8, 2025-12-20 18:34:03, 2025-12-20 18:34:03,  1,  65, WPA2, CCMP, PSK, -87,        0,        0,   0.  0.  0.  0,  29, DIRECT-E7-HP ENVY 7640 series, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
70:EE:50:74:EB:62, 2025-12-20 18:34:02, 2025-12-20 18:34:02, -75,        2, 3A:07:16:6C:87:64,
18:DE:50:62:C7:66, 2025-12-20 18:34:03, 2025-12-20 18:34:03, -84,        5, 3A:07:16:C0:53:00,

